season,gameweek,model,rows,gameweeks,mae,rmse,bias,mean_gameweek_spearman,top_10_hit_rate,top_25_hit_rate,mean_captaincy_regret,brier_6_plus,brier_10_plus,brier_15_plus
2022-23,4,player_sim,350,1,1.905,2.9041,-0.0489,0.4994,0.0,0.24,13.0,0.11973,0.03331,0.01141
2022-23,5,player_sim,348,1,1.7046,2.4364,0.115,0.4747,0.1,0.12,17.0,0.10706,0.02775,0.00288
2022-23,6,player_sim,341,1,1.8443,2.7119,-0.071,0.4973,0.2,0.24,17.0,0.11897,0.02605,0.00583
2022-23,8,player_sim,243,1,1.8136,2.7681,-0.1457,0.5001,0.0,0.16,17.0,0.13056,0.0321,0.00823
2022-23,9,player_sim,343,1,2.0518,3.1762,-0.1762,0.376,0.2,0.16,22.0,0.11836,0.03437,0.01458
2022-23,10,player_sim,358,1,1.87,2.7519,-0.1028,0.3313,0.0,0.08,16.0,0.12314,0.02743,0.00836
2022-23,11,player_sim,375,1,1.6603,2.5195,-0.2944,0.5223,0.2,0.24,13.0,0.12389,0.02906,0.00267
2022-23,12,player_sim,329,1,1.7887,2.6078,-0.4249,0.4632,0.4,0.24,4.0,0.1494,0.02981,0.00304
2022-23,13,player_sim,357,1,1.8188,2.7019,-0.2907,0.4753,0.1,0.12,4.0,0.13042,0.04116,0.0028
2022-23,14,player_sim,356,1,1.7401,2.6106,-0.2514,0.5159,0.1,0.16,16.0,0.12498,0.02775,0.00281
2022-23,15,player_sim,364,1,1.8283,2.8485,-0.086,0.4307,0.0,0.04,16.0,0.11469,0.03796,0.00824
2022-23,16,player_sim,372,1,1.8368,2.7249,-0.1489,0.4341,0.0,0.2,13.0,0.11451,0.03162,0.00269
2022-23,17,player_sim,368,1,2.2007,3.0136,0.523,0.3237,0.1,0.12,14.0,0.15982,0.03172,0.00272
2022-23,18,player_sim,391,1,1.8612,2.5053,0.3691,0.4788,0.1,0.12,11.0,0.12412,0.02263,1e-05
2022-23,19,player_sim,385,1,1.9238,2.6898,0.1806,0.5217,0.3,0.28,2.0,0.12818,0.02907,0.0078
2022-23,20,player_sim,367,1,1.9626,2.8869,0.2566,0.5266,0.0,0.2,18.0,0.12201,0.04114,0.01077
2022-23,21,player_sim,371,1,1.7776,2.4987,-0.075,0.4647,0.3,0.2,0.0,0.12016,0.02054,0.00531
2022-23,22,player_sim,369,1,2.037,2.9029,0.1456,0.4367,0.2,0.12,8.0,0.13527,0.04072,0.00746
2022-23,23,player_sim,364,1,1.8174,2.5142,0.3436,0.546,0.3,0.36,5.0,0.10257,0.03636,0.00534
2022-23,24,player_sim,365,1,1.8561,2.6269,-0.0029,0.3981,0.2,0.12,0.0,0.12082,0.02636,0.0081
2022-23,25,player_sim,299,1,2.34,3.5455,-0.2255,0.4456,0.2,0.48,15.0,0.14647,0.06241,0.01851
2022-23,26,player_sim,374,1,2.0321,2.9228,-0.0679,0.4028,0.1,0.16,0.0,0.12238,0.03817,0.00254
2022-23,27,player_sim,374,1,1.8538,2.595,0.0168,0.5186,0.3,0.32,2.0,0.12034,0.02951,0.00321
2022-23,28,player_sim,265,1,1.9001,2.6645,0.174,0.4005,0.1,0.2,16.0,0.10545,0.02882,0.00359
2022-23,29,player_sim,381,1,2.3588,3.2391,0.1185,0.5039,0.2,0.28,11.0,0.15324,0.0613,0.00788
2022-23,30,player_sim,380,1,1.7712,2.5024,0.096,0.3984,0.1,0.2,7.0,0.10289,0.02249,1e-05
2022-23,31,player_sim,375,1,1.9233,2.8852,-0.0618,0.4003,0.2,0.2,11.0,0.11259,0.03431,0.01062
2022-23,32,player_sim,301,1,1.7851,2.6233,-0.1179,0.5022,0.1,0.16,4.0,0.11095,0.03503,2e-05
2022-23,33,player_sim,373,1,1.7729,2.6341,0.0695,0.4304,0.0,0.12,17.0,0.09772,0.02833,0.00532
2022-23,34,player_sim,374,1,2.1389,3.1122,0.0534,0.5846,0.2,0.36,6.0,0.12133,0.06592,0.02186
2022-23,35,player_sim,372,1,1.9968,3.0194,-0.1241,0.3876,0.0,0.04,11.0,0.11476,0.04907,0.0054
2022-23,36,player_sim,365,1,1.9226,2.9385,-0.0627,0.5331,0.1,0.24,20.0,0.12352,0.03564,0.01591
2022-23,37,player_sim,372,1,2.0803,2.9865,0.0479,0.3969,0.0,0.28,10.0,0.12506,0.04108,0.00827
2022-23,38,player_sim,374,1,1.8277,2.6791,0.0849,0.3548,0.2,0.16,11.0,0.09291,0.03531,0.00797
2023-24,4,player_sim,324,1,2.0418,3.0022,0.0497,0.4657,0.2,0.12,0.0,0.12393,0.0373,0.00904
2023-24,5,player_sim,364,1,1.7976,2.4279,0.1463,0.3562,0.0,0.16,11.0,0.09973,0.02667,1e-05
2023-24,6,player_sim,370,1,1.9109,2.7364,0.0086,0.4632,0.2,0.28,12.0,0.1048,0.03777,0.00271
2023-24,7,player_sim,366,1,1.8697,2.7168,0.1377,0.496,0.1,0.28,13.0,0.10987,0.02283,0.00815
2023-24,8,player_sim,376,1,1.789,2.6744,0.0948,0.4082,0.1,0.16,1.0,0.10357,0.02802,0.00783
2023-24,9,player_sim,372,1,1.7637,2.6113,0.0455,0.4833,0.4,0.44,9.0,0.10183,0.02439,0.00791
2023-24,10,player_sim,374,1,1.8175,2.6008,0.0904,0.4423,0.3,0.2,9.0,0.11486,0.02417,0.00803
2023-24,11,player_sim,375,1,1.8931,2.939,0.0995,0.4082,0.0,0.08,21.0,0.10416,0.03217,0.01069
2023-24,12,player_sim,376,1,1.8638,2.7216,0.0775,0.4307,0.2,0.16,0.0,0.10813,0.03226,0.01007
2023-24,13,player_sim,366,1,1.8762,2.7024,0.2085,0.3988,0.0,0.0,9.0,0.10292,0.02993,0.00547
2023-24,14,player_sim,382,1,1.8144,2.5958,0.0136,0.4474,0.2,0.16,7.0,0.10505,0.03232,3e-05
