scope,model,rows,gameweeks,mae,rmse,bias,mean_gameweek_spearman,top_10_hit_rate,top_25_hit_rate,mean_captaincy_regret,brier_10_plus,brier_15_plus,brier_6_plus
development,position_average,24696,69,1.8711,3.1458,-0.9587,0.0889,0.0696,0.113,15.3333,,,
development,season_average,24696,69,1.9204,2.8714,-0.0691,0.4026,0.1435,0.2093,10.5507,,,
development,last_3,24696,69,2.0762,3.1054,0.1102,0.398,0.1188,0.1722,12.3043,,,
development,last_6,24696,69,1.9958,2.9533,0.0437,0.3982,0.1377,0.1901,11.1739,,,
development,minutes_only,24696,69,2.0383,2.8873,0.1624,0.4186,0.0899,0.1733,12.4058,,,
development,player_sim,24696,69,1.9103,2.8078,0.0095,0.445,0.1478,0.1994,11.087,0.03484,0.00736,0.11684
development,calibrated_player_sim,24696,69,1.9034,2.7991,0.0,0.445,0.1478,0.1994,11.087,0.03613,0.00798,0.11716
development,component_sim,24696,69,1.8644,2.8166,-0.1333,0.4219,0.1449,0.207,11.1594,0.03488,0.00731,0.11673
development,hybrid_sim,24696,69,1.8974,2.8044,-0.0191,0.4432,0.1507,0.2023,11.4783,0.03481,0.00731,0.11634
held_out,position_average,12937,35,1.771,3.0058,-0.896,0.0875,0.0629,0.1371,14.2857,,,
held_out,season_average,12937,35,1.8143,2.732,-0.0979,0.4193,0.1543,0.2149,9.0286,,,
held_out,last_3,12937,35,1.9662,2.9501,0.0744,0.4056,0.1114,0.1714,10.3143,,,
held_out,last_6,12937,35,1.8873,2.8118,0.0236,0.4126,0.1314,0.1989,10.0286,,,
held_out,minutes_only,12937,35,1.9416,2.7577,0.1634,0.4196,0.0771,0.176,12.4286,,,
held_out,player_sim,12937,35,1.825,2.6666,0.054,0.4582,0.1543,0.2034,9.2,0.02938,0.00614,0.10971
held_out,calibrated_player_sim,12937,35,1.8212,2.6626,0.053,0.4582,0.1543,0.2034,9.2,0.03,0.00632,0.1099
