bank,event,event_transfers,event_transfers_cost,overall_rank,overall_rank_percentage,percentile_rank,points,points_on_bench,rank,rank_sort,total_points,value
15,1,0,0,5471399,58,60,51,0,5471408,5680859,51,1000
15,2,0,0,8189245,76,95,32,0,9961542,9996404,83,1000
39,3,1,0,8669380,77,90,36,2,9618239,9655261,119,998
16,4,2,0,8761617,75,80,55,0,8754708,8777745,174,997
16,5,0,0,8882807,75,70,37,7,8204141,8318176,211,995
1,6,3,4,5715911,48,5,84,0,156107,158394,291,994
1,7,0,0,5990909,50,65,56,1,7325121,7398643,347,994
8,8,2,0,6512047,54,75,46,9,8998140,9008874,393,994
51,9,1,0,4746943,39,5,76,2,175252,178881,469,990
41,10,1,0,6335462,52,100,39,2,11861243,11863437,508,990
13,11,1,0,5949438,48,25,46,1,2707375,2759617,554,991
24,12,1,0,6054806,49,55,37,6,6714142,6769132,591,991
24,13,0,0,5439450,44,20,46,8,1994039,2059431,637,993
5,14,2,0,4870013,39,20,74,10,2241033,2260653,711,991
5,15,0,0,5414908,43,85,38,5,10017404,10108853,749,992
5,16,0,0,5045747,40,25,70,4,3082046,3122794,819,993
0,17,5,0,3918809,31,5,101,0,321572,324332,920,992
0,18,0,0,4036310,32,60,42,9,7008846,7136019,962,994
1,19,0,0,4180212,33,65,37,14,7735005,7893673,999,988
1,20,0,0,4658014,37,80,32,2,9599418,9708397,1031,988
3,21,2,0,4962538,39,65,44,1,8180713,8195542,1075,985
3,22,0,0,4933633,39,50,40,1,6100914,6247189,1115,984
3,23,0,0,5396525,42,90,31,1,11278880,11356079,1146,983
9,24,3,0,5328013,42,50,57,6,5791205,5805677,1203,975
4,25,1,0,4566156,36,5,83,1,345658,353903,1286,975
1,26,1,0,4420060,34,35,65,0,4304500,4338834,1351,977
13,27,1,0,4299939,34,35,50,17,4171742,4213849,1401,979
1,28,1,0,4503082,35,60,51,2,7205069,7223926,1452,982
2,29,1,0,4975839,39,80,41,4,10153204,10163981,1493,985
2,30,0,0,5306342,41,85,32,5,10646025,10755778,1525,986
9,31,2,0,5755606,45,85,21,0,10728067,10728660,1546,981
7,32,0,0,5677954,44,40,51,2,4903646,5042799,1597,974
2,33,1,0,5035275,39,15,93,0,1577369,1585315,1690,975
2,34,0,0,5358555,41,90,20,0,11076434,11172971,1710,974
1,35,2,0,5544341,43,75,44,9,9313261,9321617,1754,977
1,36,0,0,5301748,41,25,81,0,2859392,2927717,1835,980
1,37,0,0,5420161,42,60,51,0,7489197,7609331,1886,982
2,38,2,0,5468873,42,60,38,0,7315077,7323695,1924,980
