gameweek,transfer_time,player_in_id,player_in,player_in_team,player_in_position,purchase_price,player_out_id,player_out,player_out_team,player_out_position,selling_price
38,2026-05-22T15:35:33.854373Z,597,Richarlison,Spurs,Forward,6.4,249,João Pedro,Chelsea,Forward,7.4
38,2026-05-22T15:35:33.849284Z,517,Anderson,Nott'm Forest,Midfielder,5.7,173,Wieffer,Brighton,Midfielder,4.8
37,2026-05-15T13:16:06.660685Z,658,Fraser,Wolves,Forward,4.2,500,Osula,Newcastle,Forward,5.4
37,2026-05-15T13:16:06.660485Z,21,Rice,Arsenal,Midfielder,7.2,449,B.Fernandes,Man Utd,Midfielder,10.3
37,2026-05-15T13:16:06.660272Z,119,Mbeumo,Man Utd,Midfielder,8.3,173,Wieffer,Brighton,Midfielder,4.9
37,2026-05-15T13:16:06.659986Z,233,Acheampong,Chelsea,Defender,3.7,706,Justin,Leeds,Defender,3.9
37,2026-05-15T13:16:06.659702Z,476,Burn,Newcastle,Defender,5.0,151,Van Hecke,Brighton,Defender,4.6
35,2026-05-01T09:39:23.290008Z,500,Osula,Newcastle,Forward,5.4,730,Brobbey,Sunderland,Forward,5.3
35,2026-05-01T09:39:23.283930Z,173,Wieffer,Brighton,Midfielder,4.9,169,Gomez,Brighton,Midfielder,4.9
33,2026-04-17T14:05:08.947044Z,169,Gomez,Brighton,Midfielder,4.9,335,King,Fulham,Midfielder,4.4
32,2026-04-10T13:20:14.511611Z,485,Gordon,Newcastle,Midfielder,7.4,350,Aaronson,Leeds,Midfielder,5.4
32,2026-04-10T13:16:07.494192Z,730,Brobbey,Sunderland,Forward,5.3,661,Ekitiké,Liverpool,Forward,9.1
32,2026-04-10T13:16:07.493985Z,249,João Pedro,Chelsea,Forward,7.8,310,Barry,Everton,Forward,5.7
32,2026-04-10T13:16:07.493772Z,335,King,Fulham,Midfielder,4.4,660,Stach,Leeds,Midfielder,4.8
32,2026-04-10T13:16:07.493587Z,267,Sarr,Crystal Palace,Midfielder,6.3,390,Gravenberch,Liverpool,Midfielder,5.5
32,2026-04-10T13:16:07.493438Z,350,Aaronson,Leeds,Midfielder,5.4,235,Palmer,Chelsea,Midfielder,10.5
32,2026-04-10T13:16:07.493279Z,449,B.Fernandes,Man Utd,Midfielder,10.3,119,Mbeumo,Man Utd,Midfielder,8.4
32,2026-04-10T13:16:07.493103Z,380,Ramsay,Liverpool,Defender,3.7,440,Dalot,Man Utd,Defender,4.5
32,2026-04-10T13:16:07.492917Z,706,Justin,Leeds,Defender,3.9,317,Andersen,Fulham,Defender,4.6
32,2026-04-10T13:16:07.492716Z,411,O'Reilly,Man City,Defender,5.0,190,Ekdal,Burnley,Defender,3.8
32,2026-04-10T13:16:07.492541Z,151,Van Hecke,Brighton,Defender,4.5,145,De Cuyper,Brighton,Defender,4.3
32,2026-04-10T13:16:07.492351Z,5,Gabriel,Arsenal,Defender,7.2,77,Hill,Bournemouth,Defender,4.0
32,2026-04-10T13:16:07.492124Z,105,Valdimarsson,Brentford,Goalkeeper,3.8,434,Heaton,Man Utd,Goalkeeper,3.8
32,2026-04-10T13:16:07.491878Z,139,Verbruggen,Brighton,Goalkeeper,4.5,314,Leno,Fulham,Goalkeeper,4.9
31,2026-03-20T12:25:09.039354Z,317,Andersen,Fulham,Defender,4.6,109,Henry,Brentford,Defender,4.3
31,2026-03-20T12:25:09.031660Z,314,Leno,Fulham,Goalkeeper,4.9,1,Raya,Arsenal,Goalkeeper,5.9
29,2026-03-03T15:14:09.502414Z,310,Barry,Everton,Forward,5.7,526,Igor Jesus,Nott'm Forest,Forward,5.8
28,2026-02-27T15:32:28.876846Z,661,Ekitiké,Liverpool,Forward,8.9,249,João Pedro,Chelsea,Forward,7.7
27,2026-02-20T15:10:29.682938Z,249,João Pedro,Chelsea,Forward,7.7,661,Ekitiké,Liverpool,Forward,8.9
26,2026-02-10T14:19:37.543238Z,1,Raya,Arsenal,Goalkeeper,5.9,287,Pickford,Everton,Goalkeeper,5.6
25,2026-02-06T15:51:18.711970Z,235,Palmer,Chelsea,Midfielder,10.4,16,Saka,Arsenal,Midfielder,9.9
24,2026-01-30T17:41:49.722038Z,119,Mbeumo,Man Utd,Midfielder,8.3,488,Bruno G.,Newcastle,Midfielder,7.1
24,2026-01-30T17:41:49.721372Z,82,Semenyo,Man City,Midfielder,7.8,414,Foden,Man City,Midfielder,8.4
24,2026-01-30T17:41:49.715575Z,77,Hill,Bournemouth,Defender,3.9,684,Thiaw,Newcastle,Defender,5.1
21,2026-01-06T14:49:13.011700Z,684,Thiaw,Newcastle,Defender,5.1,403,Gvardiol,Man City,Defender,6.0
21,2026-01-06T14:49:13.006549Z,287,Pickford,Everton,Goalkeeper,5.6,220,Sánchez,Chelsea,Goalkeeper,4.9
19,2025-12-30T13:40:38.018464Z,526,Igor Jesus,Nott'm Forest,Forward,5.8,560,Isidor,Sunderland,Forward,5.4
19,2025-12-30T13:40:38.018048Z,661,Ekitiké,Liverpool,Forward,9.1,136,Thiago,Brentford,Forward,6.6
19,2025-12-30T13:40:38.017618Z,660,Stach,Leeds,Midfielder,4.9,582,Kudus,Spurs,Midfielder,6.4
19,2025-12-30T13:40:38.017246Z,488,Bruno G.,Newcastle,Midfielder,7.0,82,Semenyo,Man City,Midfielder,7.7
19,2025-12-30T13:40:38.016844Z,390,Gravenberch,Liverpool,Midfielder,5.7,47,Rogers,Aston Villa,Midfielder,7.2
19,2025-12-30T13:40:38.016461Z,403,Gvardiol,Man City,Defender,6.0,348,Rodon,Leeds,Defender,4.0
19,2025-12-30T13:40:38.016019Z,440,Dalot,Man Utd,Defender,4.5,260,Guéhi,Man City,Defender,5.3
19,2025-12-30T13:40:38.015541Z,145,De Cuyper,Brighton,Defender,4.3,116,Hickey,Brentford,Defender,4.0
19,2025-12-30T13:40:38.015087Z,109,Henry,Brentford,Defender,4.3,74,Truffert,Bournemouth,Defender,4.5
19,2025-12-30T13:40:38.014642Z,190,Ekdal,Burnley,Defender,3.9,38,Konsa,Aston Villa,Defender,4.4
19,2025-12-30T13:40:38.014139Z,220,Sánchez,Chelsea,Goalkeeper,4.9,139,Verbruggen,Brighton,Goalkeeper,4.4
19,2025-12-30T13:40:38.013503Z,434,Heaton,Man Utd,Goalkeeper,3.9,101,Kelleher,Brentford,Goalkeeper,4.5
18,2025-12-26T17:47:01.108153Z,661,Ekitiké,Liverpool,Forward,9.0,560,Isidor,Sunderland,Forward,5.4
18,2025-12-26T17:47:01.107916Z,624,Bowen,West Ham,Forward,7.6,136,Thiago,Brentford,Forward,6.7
18,2025-12-26T17:47:01.107680Z,462,J.Fletcher,Man Utd,Midfielder,4.3,82,Semenyo,Man City,Midfielder,7.7
18,2025-12-26T17:47:01.107432Z,21,Rice,Arsenal,Midfielder,7.2,47,Rogers,Aston Villa,Midfielder,7.1
18,2025-12-26T17:47:01.107141Z,322,Tete,Fulham,Defender,4.5,260,Guéhi,Man City,Defender,5.3
18,2025-12-26T17:47:01.106906Z,145,De Cuyper,Brighton,Defender,4.3,116,Hickey,Brentford,Defender,4.0
18,2025-12-26T17:47:01.106664Z,447,Heaven,Man Utd,Defender,3.8,74,Truffert,Bournemouth,Defender,4.5
18,2025-12-26T17:47:01.106341Z,380,Ramsay,Liverpool,Defender,3.8,38,Konsa,Aston Villa,Defender,4.4
18,2025-12-26T17:47:01.106048Z,287,Pickford,Everton,Goalkeeper,5.5,139,Verbruggen,Brighton,Goalkeeper,4.4
18,2025-12-26T17:47:01.105749Z,566,Austin,Spurs,Goalkeeper,3.9,101,Kelleher,Brentford,Goalkeeper,4.5
17,2025-12-20T09:47:49.050530Z,560,Isidor,Sunderland,Forward,5.5,252,Marc Guiu,Chelsea,Forward,4.2
17,2025-12-20T09:47:49.050036Z,116,Hickey,Brentford,Defender,4.0,473,Hall,Newcastle,Defender,5.2
17,2025-12-20T09:47:49.042738Z,348,Rodon,Leeds,Defender,4.1,191,Estève,Burnley,Defender,3.9
17,2025-12-20T09:30:58.512719Z,414,Foden,Man City,Midfielder,8.9,119,Mbeumo,Man Utd,Midfielder,8.1
17,2025-12-20T09:30:58.507581Z,260,Guéhi,Man City,Defender,5.3,256,Muñoz,Crystal Palace,Defender,5.9
14,2025-12-02T15:43:28.355784Z,256,Muñoz,Crystal Palace,Defender,6.0,575,Van de Ven,Spurs,Defender,4.6
14,2025-12-02T15:43:28.350466Z,139,Verbruggen,Brighton,Goalkeeper,4.4,105,Valdimarsson,Brentford,Goalkeeper,3.9
12,2025-11-21T14:47:28.218061Z,136,Thiago,Brentford,Forward,6.3,714,Woltemade,Newcastle,Forward,7.4
11,2025-11-07T13:48:29.986965Z,82,Semenyo,Man City,Midfielder,8.1,52,J.Ramsey,Newcastle,Midfielder,5.3
10,2025-10-31T17:10:55.230242Z,714,Woltemade,Newcastle,Forward,7.5,597,Richarlison,Spurs,Forward,6.5
9,2025-10-24T13:56:33.931459Z,16,Saka,Arsenal,Midfielder,10.0,381,M.Salah,Liverpool,Midfielder,14.3
8,2025-10-17T13:48:31.933875Z,52,J.Ramsey,Newcastle,Midfielder,5.3,390,Gravenberch,Liverpool,Midfielder,5.6
8,2025-10-17T13:48:31.929440Z,191,Estève,Burnley,Defender,4.0,232,Tosin,Chelsea,Defender,4.4
6,2025-09-26T14:53:05.014347Z,430,Haaland,Man City,Forward,14.3,64,Watkins,Aston Villa,Forward,8.8
6,2025-09-26T14:53:05.013801Z,390,Gravenberch,Liverpool,Midfielder,5.6,382,Wirtz,Liverpool,Midfielder,8.2
