model_version,control_model_version,challenger_model_version,ensemble_status,player_id,player_code,web_name,team_id,team_name,position,price,bonus_transition_multiplier,component_expected_minutes_next_1,component_expected_minutes_next_3,component_expected_minutes_next_5,component_expected_minutes_next_6,component_expected_points_next_1,component_expected_points_next_3,component_expected_points_next_5,component_expected_points_next_6,component_points_p10_next_1,component_points_p10_next_3,component_points_p10_next_5,component_points_p10_next_6,component_points_p50_next_1,component_points_p50_next_3,component_points_p50_next_5,component_points_p50_next_6,component_points_p90_next_1,component_points_p90_next_3,component_points_p90_next_5,component_points_p90_next_6,component_probability_10_plus_next_1,component_probability_10_plus_next_3,component_probability_10_plus_next_5,component_probability_10_plus_next_6,component_probability_15_plus_next_1,component_probability_15_plus_next_3,component_probability_15_plus_next_5,component_probability_15_plus_next_6,control_expected_points_next_1,control_expected_points_next_3,control_expected_points_next_5,control_expected_points_next_6,control_points_p10_next_1,control_points_p10_next_3,control_points_p10_next_5,control_points_p10_next_6,control_points_p50_next_1,control_points_p50_next_3,control_points_p50_next_5,control_points_p50_next_6,control_points_p90_next_1,control_points_p90_next_3,control_points_p90_next_5,control_points_p90_next_6,current_season_fixture_count,ensemble_point_weight,ensemble_probability_10_plus_weight,ensemble_probability_15_plus_weight,ensemble_probability_6_plus_weight,expected_minutes_next_1,expected_minutes_next_3,expected_minutes_next_5,expected_minutes_next_6,expected_points_next_1,expected_points_next_3,expected_points_next_5,expected_points_next_6,points_p10_next_1,points_p10_next_3,points_p10_next_5,points_p10_next_6,points_p50_next_1,points_p50_next_3,points_p50_next_5,points_p50_next_6,points_p90_next_1,points_p90_next_3,points_p90_next_5,points_p90_next_6,previous_season,previous_season_minutes,probability_10_plus_next_1,probability_10_plus_next_3,probability_10_plus_next_5,probability_10_plus_next_6,probability_15_plus_next_1,probability_15_plus_next_3,probability_15_plus_next_5,probability_15_plus_next_6,probability_3_or_fewer_next_1,probability_3_or_fewer_next_3,probability_3_or_fewer_next_5,probability_3_or_fewer_next_6,probability_6_plus_next_1,probability_6_plus_next_3,probability_6_plus_next_5,probability_6_plus_next_6,projection_evidence_source,qualitative_points_delta_next_1,qualitative_points_delta_next_3,qualitative_points_delta_next_5,qualitative_points_delta_next_6,quantitative_expected_points_next_1,quantitative_expected_points_next_3,quantitative_expected_points_next_5,quantitative_expected_points_next_6,scoring_rules_version,value_next_1,value_next_3,value_next_5,value_next_6
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,1,154561,Raya,1,Arsenal,Goalkeeper,6.1,1.03,69.24,203.02,341.88,410.64,3.12,9.09,15.578,18.802,0,3.0,7.0,10.0,2.0,9.0,15.0,19.0,7.0,16.0,24.0,28.0,0.0217,0.4183,0.8267,0.9233,0.0,0.1483,0.5267,0.695,4.348,12.47,20.817,25.04,2,7,13,17,3,12,21,25,7,18,28,34,5,0.0,0.0,0.0,0.0,88.52,265.56,441.91,530.67,4.348,12.47,20.817,25.04,2.0,7.0,13.0,17.0,3.0,12.0,21.0,25.0,7.0,18.0,28.0,34.0,2025/26,3330.0,0.03,0.7217,0.9867,1.0,0.0,0.3417,0.8467,0.9567,0.5167,0.0,0.0,0.0,0.4067,0.965,1.0,1.0,current_and_previous_season,0.0,0.0,0.0,0.0,4.348,12.47,20.817,25.04,fpl-2026-27,0.7128,2.0443,3.4126,4.1049
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,2,109745,Arrizabalaga,1,Arsenal,Goalkeeper,4.9,1.03,5.46,17.35,31.36,37.29,0.207,0.738,1.303,1.577,0,0,0,0,0,0,0,0,0,3.0,6.0,6.0,0.0,0.0033,0.015,0.025,0.0,0.0017,0.0017,0.005,0.013,0.062,0.093,0.113,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.14,1.37,2.11,2.56,0.013,0.062,0.093,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.995,0.9917,0.99,0.0017,0.0033,0.005,0.0067,current_and_previous_season,0.0,0.0,0.0,0.0,0.013,0.062,0.093,0.113,fpl-2026-27,0.0027,0.0126,0.0191,0.0231
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,3,437495,Meslier,1,Arsenal,Goalkeeper,4.9,1.03,5.87,19.99,30.81,37.25,0.283,0.958,1.468,1.748,0,0,0,0,0,0,0,0,0,3.0,7.0,7.0,0.0017,0.0083,0.0183,0.025,0.0,0.0017,0.0017,0.005,0.163,0.447,0.832,1.032,0,0,0,0,0,0,0,0,0,1,3,4,5,0.0,0.0,0.0,0.0,3.5,10.07,17.72,21.76,0.163,0.447,0.832,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2025/26,0.0,0.0,0.005,0.0067,0.01,0.0,0.0,0.0017,0.0017,0.9867,0.9583,0.91,0.885,0.01,0.0333,0.0683,0.085,current_season,0.0,0.0,0.0,0.0,0.163,0.447,0.832,1.032,fpl-2026-27,0.0333,0.0911,0.1697,0.2105
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,4,226597,Gabriel,1,Arsenal,Defender,8.0,1.0,71.46,211.96,353.7,423.43,4.015,11.66,19.403,23.083,0,4.0,10.0,13.0,3.0,11.0,19.0,22.0,9.0,20.0,30.0,34.0,0.0717,0.6,0.9033,0.965,0.0117,0.295,0.725,0.865,4.923,14.308,23.673,28.46,1,8,15,19,4,14,23,28,9,22,33,39,5,0.0,0.0,0.0,0.0,85.82,258.17,430.1,517.56,4.923,14.308,23.673,28.46,1.0,8.0,15.0,19.0,4.0,14.0,23.0,28.0,9.0,22.0,33.0,39.0,2025/26,2750.0,0.0767,0.7933,0.99,1.0,0.0067,0.4417,0.915,0.9867,0.3867,0.0083,0.0,0.0,0.4067,0.975,1.0,1.0,current_and_previous_season,0.0,0.0,0.0,0.0,4.923,14.308,23.673,28.46,fpl-2026-27,0.6154,1.7885,2.9592,3.5575
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,5,445122,J.Timber,1,Arsenal,Defender,6.5,1.0,20.56,65.9,107.09,131.23,1.153,3.503,5.623,6.762,0,0,0,1.0,0,2.0,4.0,6.0,5.0,9.0,14.0,15.0,0.0167,0.09,0.19,0.25,0.005,0.0233,0.0717,0.1033,1.895,5.067,8.433,10.037,0,1,2,3,1,3,7,9,6,11,17,19,5,0.0,0.0,0.0,0.0,30.76,91.28,155.64,185.75,1.895,5.067,8.433,10.037,0.0,1.0,2.0,3.0,1.0,3.0,7.0,9.0,6.0,11.0,17.0,19.0,2025/26,2452.0,0.0217,0.1567,0.3617,0.46,0.0033,0.0433,0.1617,0.23,0.795,0.5083,0.2167,0.1433,0.1667,0.4017,0.6433,0.7217,current_and_previous_season,0.0,0.0,0.0,0.0,1.895,5.067,8.433,10.037,fpl-2026-27,0.2915,0.7795,1.2974,1.5441
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,6,462424,Saliba,1,Arsenal,Defender,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025/26,2614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,current_and_previous_season,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fpl-2026-27,0.0,0.0,0.0,0.0
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,7,499169,Lewis-Skelly,1,Arsenal,Midfielder,5.4,1.0188,49.48,141.59,235.76,283.59,1.698,4.703,7.95,9.607,0,2.0,4.0,5.0,2.0,4.0,8.0,9.0,3.0,8.0,12.0,15.0,0.0,0.0517,0.29,0.465,0.0,0.01,0.0467,0.1017,1.497,4.453,7.16,8.645,0,1,3,4,1,4,7,8,3,8,12,14,5,0.0,0.0,0.0,0.0,44.73,132.83,216.35,261.59,1.497,4.453,7.16,8.645,0.0,1.0,3.0,4.0,1.0,4.0,7.0,8.0,3.0,8.0,12.0,14.0,2025/26,697.0,0.0,0.0617,0.2283,0.3683,0.0,0.0033,0.03,0.0817,0.9267,0.41,0.125,0.0617,0.0333,0.28,0.6483,0.7933,current_and_previous_season,0.0,0.0,0.0,0.0,1.497,4.453,7.16,8.645,fpl-2026-27,0.2772,0.8247,1.3259,1.6009
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,8,466075,Calafiori,1,Arsenal,Defender,5.8,1.0,66.93,202.48,335.47,401.78,3.843,10.83,17.683,21.28,0,3.0,8.0,11.0,2.0,10.0,17.0,21.0,8.0,19.0,28.0,32.0,0.0567,0.545,0.8567,0.9217,0.0167,0.2583,0.625,0.7917,4.537,12.597,20.505,24.488,1,6,11,15,4,12,19,24,9,21,31,37,5,0.0,0.0,0.0,0.0,77.24,228.82,381.76,457.77,4.537,12.597,20.505,24.488,1.0,6.0,11.0,15.0,4.0,12.0,19.0,24.0,9.0,21.0,31.0,37.0,2025/26,1697.0,0.0767,0.665,0.955,0.9833,0.0067,0.3433,0.78,0.9083,0.4933,0.03,0.0017,0.0,0.4167,0.9033,0.995,0.9983,current_and_previous_season,0.0,0.0,0.0,0.0,4.537,12.597,20.505,24.488,fpl-2026-27,0.7822,2.1718,3.5354,4.2221
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,9,448104,Hincapie,1,Arsenal,Defender,5.2,1.0,12.07,37.29,62.81,74.22,0.685,2.088,3.523,4.153,0,0,1.0,1.0,0,1.0,2.0,3.0,1.0,6.0,8.0,9.0,0.0017,0.0167,0.0617,0.0833,0.0,0.0017,0.0083,0.0083,0.758,2.19,3.515,4.353,0,0,1,1,0,2,3,3,1,6,7,9,5,0.0,0.0,0.0,0.0,13.34,41.15,65.93,79.99,0.758,2.19,3.515,4.353,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,6.0,7.0,9.0,2025/26,1787.0,0.0017,0.0133,0.0533,0.09,0.0,0.0017,0.0083,0.015,0.945,0.8333,0.65,0.5283,0.0333,0.105,0.1983,0.26,current_and_previous_season,0.0,0.0,0.0,0.0,0.758,2.19,3.515,4.353,fpl-2026-27,0.1458,0.4212,0.676,0.8372
player-sim-2.0,player-sim-2.0,player-sim-3.0-candidate,holdout_rejected,10,198869,White,1,Arsenal,Defender,5.5,1.0,38.75,117.98,193.68,233.74,1.945,5.94,9.702,11.698,0,1.0,2.0,3.0,1.0,6.0,9.0,11.0,6.0,12.0,18.0,21.0,0.01,0.2183,0.4633,0.585,0.0,0.0567,0.2,0.31,1.985,5.825,9.427,11.19,0,0,2,3,1,5,9,10,6,13,19,21,5,0.0,0.0,0.0,0.0,38.75,116.07,187.4,222.98,1.985,5.825,9.427,11.19,0.0,0.0,2.0,3.0,1.0,5.0,9.0,10.0,6.0,13.0,19.0,21.0,2025/26,699.0,0.0117,0.2033,0.44,0.54,0.0017,0.055,0.1967,0.2833,0.7883,0.39,0.19,0.115,0.1683,0.4717,0.7,0.7683,current_and_previous_season,0.0,0.0,0.0,0.0,1.985,5.825,9.427,11.19,fpl-2026-27,0.3609,1.0591,1.7139,2.0345
