observed_at,player_id,player_code,web_name,team_id,team_code,team_name,position,price,price_change_gameweek,price_change_season,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,form,expected_points_this_gameweek,expected_points_next_gameweek,transfers_in_event,transfers_out_event,transfers_in_season,transfers_out_season,penalties_order,direct_free_kicks_order,corners_and_indirect_free_kicks_order
2026-08-26T01:59:29+00:00,1,154561,Raya,1,3,Arsenal,Goalkeeper,6.0,0.0,0.0,a,,,,,38.1,6.0,4.0,4.0,67731,49281,67731,49281,,,
2026-08-26T01:59:29+00:00,2,109745,Arrizabalaga,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.1,0.0,2.6,2.6,222,908,222,908,,,
2026-08-26T01:59:29+00:00,3,437495,Meslier,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.0,0.0,2.6,2.6,74,337,74,337,,,
2026-08-26T01:59:29+00:00,4,226597,Gabriel,1,3,Arsenal,Defender,8.0,0.0,0.0,a,,,,,29.4,5.0,4.0,4.0,39992,76982,39992,76982,,,
2026-08-26T01:59:29+00:00,5,445122,J.Timber,1,3,Arsenal,Defender,6.5,0.0,0.0,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,0.1,0.0,0.0,0.0,298,2282,298,2282,,,
2026-08-26T01:59:29+00:00,6,462424,Saliba,1,3,Arsenal,Defender,6.0,0.0,0.0,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,0.3,0.0,0.0,0.0,636,5150,636,5150,,,
2026-08-26T01:59:29+00:00,7,499169,Lewis-Skelly,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.7,3.0,2.0,2.0,6758,5880,6758,5880,,,
2026-08-26T01:59:29+00:00,8,466075,Calafiori,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,41.3,9.0,2.5,2.5,228788,24707,228788,24707,,,
2026-08-26T01:59:29+00:00,9,448104,Hincapie,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,1.6,1.0,2.5,2.5,2825,28848,2825,28848,,,
2026-08-26T01:59:29+00:00,10,198869,White,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,2026-07-23T12:01:23.305229Z,100,100,5.9,11.0,2.5,2.5,90548,12938,90548,12938,,,
2026-08-26T01:59:29+00:00,11,500040,Mosquera,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,6.0,6.0,2.5,2.5,11148,26336,11148,26336,,,
2026-08-26T01:59:29+00:00,12,223340,Saka,1,3,Arsenal,Midfielder,9.5,0.0,0.0,a,,,,,10.3,9.0,3.2,3.2,60744,18568,60744,18568,1,,
2026-08-26T01:59:29+00:00,13,204480,Rice,1,3,Arsenal,Midfielder,7.5,0.0,0.0,a,,,,,17.4,3.0,2.6,2.6,25240,99313,25240,99313,,,
2026-08-26T01:59:29+00:00,14,232413,Eze,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,1.9,1.0,2.3,2.3,3816,29687,3816,29687,,,
2026-08-26T01:59:29+00:00,15,184029,Ødegaard,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,10.8,11.0,2.3,2.3,197396,20461,197396,20461,3,,
2026-08-26T01:59:29+00:00,16,248857,Madueke,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,0.3,1.0,2.3,2.3,819,5296,819,5296,,,
2026-08-26T01:59:29+00:00,17,195384,Merino,1,3,Arsenal,Midfielder,6.0,0.0,0.0,a,,,,,0.6,1.0,2.2,2.2,1784,11052,1784,11052,,,
2026-08-26T01:59:29+00:00,18,444145,Martinelli,1,3,Arsenal,Midfielder,6.4,-0.1,-0.1,a,,,,,0.2,0.0,2.3,2.3,861,4895,861,4895,,,
2026-08-26T01:59:29+00:00,19,481655,Zubimendi,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,1.0,1.0,2.0,2.0,1080,13828,1080,13828,,,
2026-08-26T01:59:29+00:00,20,616077,Dowman,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.1,0.0,2.0,2.0,293,1728,293,1728,,,
2026-08-26T01:59:29+00:00,22,499175,Nwaneri,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,50,229,50,229,,,
2026-08-26T01:59:29+00:00,23,438098,Fábio Vieira,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,49,153,49,153,,,
2026-08-26T01:59:29+00:00,24,200641,Nelson,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,44,114,44,114,,,
2026-08-26T01:59:29+00:00,25,224117,Gyökeres,1,3,Arsenal,Forward,7.4,-0.1,-0.1,a,,,,,7.6,0.0,2.3,2.3,6312,152093,6312,152093,2,,
2026-08-26T01:59:29+00:00,26,219847,Havertz,1,3,Arsenal,Forward,7.5,0.0,0.0,a,,,,,7.0,6.0,2.4,2.4,129266,21090,129266,21090,,,
2026-08-26T01:59:29+00:00,27,205651,G.Jesus,1,3,Arsenal,Forward,6.0,0.0,0.0,a,,,,,0.3,0.0,2.0,2.0,1334,4998,1334,4998,,,
2026-08-26T01:59:29+00:00,31,199798,Konsa,1,3,Arsenal,Defender,4.5,0.0,0.0,a,,,,,11.4,0.0,1.7,1.7,29951,160855,29951,160855,,,
2026-08-26T01:59:29+00:00,452,208706,Bruno G.,1,3,Arsenal,Midfielder,7.0,0.0,0.0,d,Thigh injury - 75% chance of playing,2026-08-20T17:00:08.846118Z,75,75,3.2,0.0,1.8,1.8,603,84203,603,84203,4,,
2026-08-26T01:59:29+00:00,557,439509,Tzolis,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,25.8,6.0,2.3,2.3,154497,29958,154497,29958,,,
2026-08-26T01:59:29+00:00,28,98980,Martinez,2,7,Aston Villa,Goalkeeper,5.0,0.0,0.0,a,,,,,4.2,0.0,2.6,2.6,5693,36430,5693,36430,,,
2026-08-26T01:59:29+00:00,29,72147,M.Bizot,2,7,Aston Villa,Goalkeeper,4.5,0.0,0.0,a,,,,,0.1,1.0,1.9,1.9,502,502,502,502,,,
2026-08-26T01:59:29+00:00,30,101188,Digne,2,7,Aston Villa,Defender,4.5,0.0,0.0,u,Has joined Paris Saint-Germain permanently,2026-08-10T14:03:30.089007Z,0,0,0.1,0.0,0.0,0.0,0,3943,0,3943,,,
2026-08-26T01:59:29+00:00,32,199796,Cash,2,7,Aston Villa,Defender,4.5,0.0,0.0,a,,,,,8.1,-1.0,1.7,1.7,23757,67621,23757,67621,,,
2026-08-26T01:59:29+00:00,33,149484,Mings,2,7,Aston Villa,Defender,4.5,0.0,0.0,a,,,,,0.4,1.0,1.7,1.7,2660,2281,2660,2281,,,
2026-08-26T01:59:29+00:00,34,244954,Pau,2,7,Aston Villa,Defender,4.5,0.0,0.0,a,,,,,0.4,0.0,1.7,1.7,1610,3169,1610,3169,,,
2026-08-26T01:59:29+00:00,35,515597,Bogarde,2,7,Aston Villa,Midfielder,5.0,0.0,0.0,a,,,,,0.1,1.0,1.5,1.5,492,600,492,600,,,
2026-08-26T01:59:29+00:00,36,441302,Maatsen,2,7,Aston Villa,Defender,4.5,0.0,0.0,a,,,,,0.8,0.0,1.7,1.7,2101,5664,2101,5664,,,
2026-08-26T01:59:29+00:00,37,184667,Lindelöf,2,7,Aston Villa,Defender,4.5,0.0,0.0,a,,,,,0.3,-2.0,1.7,1.7,1464,2618,1464,2618,,,
2026-08-26T01:59:29+00:00,38,606798,A.García,2,7,Aston Villa,Defender,4.0,0.0,0.0,a,,,,,1.7,0.0,1.0,1.0,5289,9193,5289,9193,,,
2026-08-26T01:59:29+00:00,39,578545,Nedeljkovic,2,7,Aston Villa,Defender,4.0,0.0,0.0,u,Has joined Rangers on loan for the rest of the season,2026-08-19T13:56:46.385411Z,0,0,0.2,0.0,0.0,0.0,0,5086,0,5086,,,
2026-08-26T01:59:29+00:00,41,195546,Buendía,2,7,Aston Villa,Midfielder,6.0,0.0,0.0,a,,,,,1.3,2.0,2.2,2.2,3556,12572,3556,12572,1,,
2026-08-26T01:59:29+00:00,44,215711,Bailey,2,7,Aston Villa,Midfielder,5.5,0.0,0.0,a,,,,,0.2,0.0,2.0,2.0,740,1758,740,1758,,,
2026-08-26T01:59:29+00:00,45,122806,McGinn,2,7,Aston Villa,Midfielder,5.5,0.0,0.0,a,,,,,3.0,1.0,2.0,2.0,5559,27324,5559,27324,,,
2026-08-26T01:59:29+00:00,46,88894,Barkley,2,7,Aston Villa,Midfielder,5.0,0.0,0.0,a,,,,,0.2,2.0,1.5,1.5,1297,1654,1297,1654,,,
