season,position,fixture_rows,appearances,appearance_rate,start_rate,average_minutes_per_fixture,average_minutes_when_appearing,points_per_90,goals_per_90,assists_per_90,clean_sheets_per_90,saves_per_90,bonus_per_90,xg_per_90,xa_per_90,xgi_per_90
2018-19,Unknown,21790,10480,0.481,0.3658,34.38,71.49,3.7279,0.1247,0.1121,0.2816,0.2686,0.291,0.0,0.0,0.0
2019-20,Unknown,22560,10614,0.4705,0.352,33.21,70.58,3.7257,0.1203,0.1082,0.282,0.2671,0.2917,0.0,0.0,0.0
2020-21,DEF,8626,3486,0.4041,0.3547,32.77,81.09,3.3307,0.0436,0.0624,0.291,0.0,0.255,0.0,0.0,0.0
2020-21,FWD,3113,1429,0.459,0.2785,27.28,59.42,4.8097,0.3445,0.1918,0.2872,0.0,0.549,0.0,0.0,0.0
2020-21,GK,2768,765,0.2764,0.2735,24.71,89.41,3.7792,0.0013,0.0026,0.2948,2.9646,0.3329,0.0,0.0,0.0
2020-21,MID,9858,4713,0.4781,0.3357,31.78,66.47,3.9003,0.1502,0.1511,0.3111,0.0,0.2542,0.0,0.0,0.0
2021-22,DEF,8620,3572,0.4144,0.3571,33.06,79.79,3.3373,0.048,0.0736,0.2839,0.0,0.2586,0.0,0.0,0.0
2021-22,FWD,3398,1403,0.4129,0.2649,25.65,62.12,4.4084,0.3036,0.1735,0.2685,0.0,0.4977,0.0,0.0,0.0
2021-22,GK,2910,763,0.2622,0.2601,23.5,89.64,3.5843,0.0,0.0039,0.279,2.9527,0.2671,0.0,0.0,0.0
2021-22,MID,10519,4747,0.4513,0.3076,29.37,65.08,4.036,0.1722,0.153,0.3036,0.0,0.2727,0.0,0.0,0.0
2022-23,DEF,9183,3776,0.4112,0.2167,30.23,73.53,3.2231,0.0353,0.0583,0.2733,0.0,0.235,0.0353,0.0359,0.0672
2022-23,FWD,3113,1477,0.4745,0.176,24.94,52.57,5.1348,0.3964,0.1913,0.2886,0.0,0.5749,0.2794,0.0546,0.3098
2022-23,GK,2791,770,0.2759,0.1748,24.51,88.82,3.6582,0.0,0.0053,0.2737,2.9292,0.3461,0.0003,0.0013,0.001
2022-23,MID,11418,5322,0.4661,0.2051,28.5,61.15,4.0298,0.1623,0.1599,0.2796,0.0,0.2636,0.1055,0.0775,0.1709
2023-24,DEF,9611,3843,0.3999,0.3277,29.36,73.44,2.9652,0.0507,0.0772,0.207,0.0,0.2184,0.0543,0.0581,0.1124
2023-24,FWD,3854,1445,0.3749,0.2265,20.52,54.72,5.1607,0.4211,0.1912,0.2538,0.0,0.5463,0.4373,0.0899,0.5271
2023-24,GK,3413,776,0.2274,0.2227,20.04,88.13,3.2583,0.0,0.0026,0.2066,3.2846,0.2856,0.0,0.0014,0.0015
2023-24,MID,12847,5320,0.4141,0.2784,24.83,59.95,4.2222,0.1882,0.186,0.2466,0.0,0.2963,0.1817,0.1383,0.3199
2024-25,AM,322,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-25,DEF,9146,3787,0.4141,0.3372,30.16,72.83,3.0049,0.0414,0.063,0.2278,0.0,0.1837,0.0488,0.0569,0.1056
2024-25,FWD,3018,1271,0.4211,0.2548,23.01,54.65,5.2868,0.4289,0.149,0.2825,0.0,0.7529,0.4192,0.0718,0.491
2024-25,GK,2869,770,0.2684,0.2649,23.84,88.83,3.3501,0.0,0.0145,0.2316,3.0791,0.2013,0.0001,0.0019,0.0019
2024-25,MID,12250,5738,0.4684,0.3059,27.33,58.35,4.1547,0.1675,0.1772,0.2656,0.0,0.2968,0.1687,0.1292,0.2979
ALL,AM,322,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL,DEF,45186,18464,0.4086,0.3178,31.06,76.0,3.1732,0.0439,0.067,0.2567,0.0,0.2304,0.0275,0.03,0.0566
ALL,FWD,16496,7025,0.4259,0.2399,24.14,56.69,4.9381,0.3756,0.1801,0.2759,0.0,0.5779,0.2144,0.041,0.2507
ALL,GK,14751,3844,0.2606,0.2388,23.18,88.96,3.526,0.0003,0.0058,0.2571,3.042,0.2866,0.0001,0.0009,0.0009
ALL,MID,56892,25840,0.4542,0.2849,28.15,61.97,4.0701,0.1681,0.1656,0.2809,0.0,0.277,0.0929,0.0703,0.1607
ALL,Unknown,44350,21094,0.4756,0.3588,33.78,71.03,3.7268,0.1225,0.1102,0.2818,0.2678,0.2913,0.0,0.0,0.0
